album_id,pub_name,rank,is_ranked,score,artist,title,format,genres,label,date,website,producer
93029,aoty,58,TRUE,84,Ezra Furman,Transangelic Exodus,LP,Indie Rock,Bella Union,2018-02-09,NA,NA
99252,aoty,58,TRUE,79,The Breeders,All Nerve,LP,Alternative Rock,4AD,2018-03-02,NA,NA
94990,aoty,59,TRUE,80,Caroline Rose,Loner,LP,Indie Rock,New West,2018-02-23,NA,NA
116472,aoty,59,TRUE,76,Cat Power,Wanderer,LP,"Singer-Songwriter, Americana",Domino,2018-10-05,catpowermusic.com,NA
99931,aoty,59,TRUE,84,Mount Eerie,Now Only,LP,"Singer-Songwriter, Indie Folk",P.W. Elverum & Sun,2018-03-16,NA,NA
99728,aoty,60,TRUE,67,Turnstile,Time & Space,LP,Hardcore Punk,Roadrunner,2018-02-23,NA,NA
108262,aoty,60,TRUE,78,Lotic,Power,LP,Electronic,Tri Angle,2018-07-13,NA,NA
107010,aoty,60,TRUE,79,Oneohtrix Point Never,Age Of,LP,Progressive Electronic,Warp,2018-06-01,pointnever.com,NA
109498,aoty,61,TRUE,78,LUMP,LUMP,LP,"Indie Folk, Folktronica",Dead Oceans,2018-06-01,NA,NA
109442,aoty,61,TRUE,78,J Balvin,Vibras,LP,Latin Pop,Universal Latino,2018-05-25,NA,NA
100132,aoty,61,TRUE,74,Yo La Tengo,There's a Riot Going On,LP,"Ambient Pop, Indie Rock",Matador,2018-03-16,www.yolatengo.com,NA
105991,aoty,62,TRUE,81,Stephen Malkmus and the Jicks,Sparkle Hard,LP,Indie Rock,Matador,2018-05-18,www.stephenmalkmus.com,NA
113881,aoty,62,TRUE,69,Rico Nasty,Nasty,LP,Trap Rap,Sugar Trap,2018-06-15,NA,NA
93280,aoty,63,TRUE,72,First Aid Kit,Ruins,LP,"Indie Folk, Americana",Columbia,2018-01-19,www.thisisfirstaidkit.com,NA
96151,aoty,63,TRUE,81,Ty Segall,Freedom's Goblin,LP,Garage Rock,Drag City,2018-01-26,ty-segall.com,NA
111738,aoty,63,TRUE,77,Kamaal Williams,The Return,LP,Jazz Fusion,Black Focus,2018-05-25,NA,NA
104465,aoty,63,TRUE,80,Grouper,Grid of Points,LP,"Ambient Pop, Singer-Songwriter",Kranky,2018-04-27,NA,NA
119409,The 405,50,TRUE,NA,boygenius,boygenius EP,EP,"Indie Folk, Singer-Songwriter, Indie Rock",Matador,2018-10-26,NA,NA
113116,The 405,49,TRUE,80,Tomberlin,At Weddings,LP,"Singer-Songwriter, Indie Folk",Saddle Creek,2018-08-10,NA,NA
116881,The 405,48,TRUE,NA,Twice,Summer Nights,EP,K-Pop,JYP,2018-07-09,NA,NA
119070,The 405,47,TRUE,80,Reese Laflare,Reese Laflare,LP,"NA",EMPIRE,2018-08-17,NA,NA
119846,The 405,46,TRUE,NA,Sunmi,Warning,LP,"K-Pop, Electropop",MakeUs,2018-09-04,NA,NA
125073,The 405,45,TRUE,75,Miya Folick,Premonitions,LP,"Indie Pop, Synthpop","Terrible, Interscope",2018-10-26,NA,NA
129045,The 405,44,TRUE,75,Earl Sweatshirt,Some Rap Songs,LP,"Experimental Hip Hop, Abstract Hip Hop","Tan Cressida, Columbia",2018-11-30,NA,NA
125608,The 405,43,TRUE,NA,Ichiko Aoba,qp,LP,"Folk, Singer-Songwriter","NA",2018-10-24,NA,NA
106049,The 405,42,TRUE,NA,Sons of Kemet,Your Queen is a Reptile,LP,Jazz,"Impulse!, Verve",2018-03-30,NA,NA
101790,The 405,41,TRUE,90,Half Waif,Lavender,LP,"Synthpop, Art Pop",Cascine,2018-04-27,half-waif.com,NA
113784,The 405,40,TRUE,NA,Body Void,I Live Inside a Burning House,LP,Sludge Metal,"NA",2018-05-11,NA,NA
103095,The 405,39,TRUE,85,Parquet Courts,Wide Awake!,LP,"Art Punk, Indie Rock",Rough Trade,2018-05-18,NA,NA
125661,The 405,38,TRUE,80,BoA,WOMAN,LP,K-Pop,SM Entertainment,2018-10-24,NA,NA
108270,The 405,37,TRUE,85,Deafheaven,Ordinary Corrupt Human Love,LP,Blackgaze,Anti-,2018-07-13,deafheaven.com,NA
117550,The 405,36,TRUE,NA,Kathryn Joseph,From When I Wake the Want Is,LP,"Indie Folk, Chamber Folk",Rock Action,2018-08-10,NA,NA
106020,The 405,35,TRUE,85,Cardi B,Invasion of Privacy,LP,Trap Rap,Atlantic,2018-04-06,cardibofficial.com,NA
109922,The 405,34,TRUE,90,Tirzah,Devotion,LP,"Art Pop, Alternative R&B",Domino,2018-08-10,NA,NA
132930,The 405,33,TRUE,NA,ASEUL,Asobi,LP,"NA",Astro Kidz,2018-07-28,NA,NA
126677,The 405,32,TRUE,80,Vince Staples,FM!,LP,Hip Hop,Def Jam,2018-11-02,vincestaples.com,NA
108939,The 405,31,TRUE,80,Hana Vu,How Many Times Have You Driven By,LP,"Indie Pop, Dream Pop",Luminelle,2018-06-29,NA,NA
122700,The 405,30,TRUE,85,Vessel,Queen of Golden Dogs,LP,Deconstructed Club,Tri Angle,2018-11-09,NA,NA
107514,The 405,29,TRUE,90,Kamasi Washington,Heaven and Earth,LP,Jazz Fusion,Young Turks,2018-06-22,kamasiwashington.com,NA
120532,The 405,28,TRUE,85,Marie Davidson,Working Class Woman,LP,Tech House,Ninja Tune,2018-10-05,NA,NA
